NM_SENADOR;CD_SENADOR;NM_UF;AN_ELEICAO;NM_SENADOR1;SG_PARTIDO;CS_SEXO;% SENADOR_ID;AN_REFERENCIA1;VL_IAU1;VL_IRL1;VL_IVOT1;VL_IASS1;senador_id_file_ceaps;QT_ANOS_IDADE;VL_REEMBOLSADO;ORIGEM;AN_REFERENCIA;VL_IAU;VL_IRL;VL_IVOT;VL_IASS;Calculation;Produtividade
EDUARDO SUPLICY;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172011;2011;0.2744360902;0.2957746479;0.1992866106;0.880952381;172011;77;82675;file_eleitos;2011;0.2744360902;0.2957746479;0.1992866106;0.880952381;1.6504497297;0.4126124324
EDUARDO SUPLICY;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172014;2014;0.3922261484;0.231884058;0.1992866106;0.918699187;172014;77;193615.45;file_eleitos;2014;0.3922261484;0.231884058;0.1992866106;0.918699187;1.742096004;0.435524001
EDUARDO SUPLICY;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172013;2013;0.53125;0.3504273504;0.1992866106;0.9243697479;172013;77;188533.3;file_eleitos;2013;0.53125;0.3504273504;0.1992866106;0.9243697479;2.0053337089;0.5013334272
EDUARDO SUPLICY;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172012;2012;0.4296577947;0.1677852349;0.1992866106;0.9444444444;172012;77;176254.13;file_eleitos;2012;0.4296577947;0.1677852349;0.1992866106;0.9444444444;1.7411740846;0.4352935212
EPITACIO CAFETEIRA;20;MA;2006;EPITACIO CAFETEIRA;PTB;MASCULINO;202012;2012;0.0190114068;0;0.1451723936;0.8253968254;202012;94;245891.95;file_eleitos;2012;0.0190114068;0;0.1451723936;0.8253968254;0.9895806259;0.2473951565
EPITACIO CAFETEIRA;20;MA;2006;EPITACIO CAFETEIRA;PTB;MASCULINO;202013;2013;0.0347222222;0;0.1451723936;0.7394957983;202013;94;138901.59;file_eleitos;2013;0.0347222222;0;0.1451723936;0.7394957983;0.9193904142;0.2298476035
EPITACIO CAFETEIRA;20;MA;2006;EPITACIO CAFETEIRA;PTB;MASCULINO;202014;2014;0.0176678445;0;0.1451723936;0.8292682927;202014;94;24432.01;file_eleitos;2014;0.0176678445;0;0.1451723936;0.8292682927;0.9921085309;0.2480271327
EPITACIO CAFETEIRA;20;MA;2006;EPITACIO CAFETEIRA;PTB;MASCULINO;202011;2011;0.0187969925;0;0.1451723936;0.9047619048;202011;94;209501.16;file_eleitos;2011;0.0187969925;0;0.1451723936;0.9047619048;1.0687312909;0.2671828227
JOSE SARNEY;47;AP;2006;JOSE SARNEY;PMDB;MASCULINO;472014;2014;0.0318021201;0.0144927536;0.1911518048;0.8306451613;472014;;0;file_eleitos;2014;0.0318021201;0.0144927536;0.1911518048;0.8306451613;1.0680918398;0.26702296
JOSE SARNEY;47;AP;2006;JOSE SARNEY;PMDB;MASCULINO;472011;2011;0.1654135338;0.0070422535;0.1911518048;0.9444444444;472011;88;42000;file_eleitos;2011;0.1654135338;0.0070422535;0.1911518048;0.9444444444;1.3080520366;0.3270130091
JOSE SARNEY;47;AP;2006;JOSE SARNEY;PMDB;MASCULINO;472013;2013;0.0798611111;0.0085470085;0.1911518048;0.7226890756;472013;88;3759.93;file_eleitos;2013;0.0798611111;0.0085470085;0.1911518048;0.7226890756;1.0022490001;0.25056225
JOSE SARNEY;47;AP;2006;JOSE SARNEY;PMDB;MASCULINO;472012;2012;0.0570342205;0.0067114094;0.1911518048;0.8253968254;472012;88;51102;file_eleitos;2012;0.0570342205;0.0067114094;0.1911518048;0.8253968254;1.0802942601;0.270073565
PEDRO SIMON;68;RS;2006;PEDRO SIMON;PMDB;MASCULINO;682011;2011;0.1353383459;0.161971831;0.1644950342;0.880952381;682011;88;27569.46;file_eleitos;2011;0.1353383459;0.161971831;0.1644950342;0.880952381;1.342757592;0.335689398
