% chave;CD_SENADOR;NM_UF;AN_ELEICAO;NM_SENADOR;SG_PARTIDO;CS_SEXO;% SENADOR_ID;AN_REFERENCIA;VL_IAU;VL_IRL;VL_IVOT;VL_IASS;senador_id_file_ceaps;QT_ANOS_IDADE;VL_REEMBOLSADO;ORIGEM
SODRESANTORO2012;;RR;;SODRE SANTORO;PTB;;;2012;0;0;0;0,33333333333333;;;0;file_eleitos
MARCOANTONIOCOSTA2012;;TO;;MARCO ANTONIO  COSTA;PSD;;;2012;0;0;0;0,84;;;0;file_eleitos
GIMARGELLO2012;;DF;;GIM ARGELLO;PTB;;;2012;0;0;0;0,96031746031746;;;0;file_eleitos
EXPEDITOJUNIOR;1189;RO;2006;EXPEDITO JUNIOR;PPS;MASCULINO;;;0;0;0,14826103617922;0;;;0;file_eleitos
2013;;;;;;;;2013;0;0;0;0,87394957983193;;;0;file_eleitos
EDUARDOAMORIN2012;;SE;;EDUARDO AMORIN;PSC;;;2012;0;0;0;0,84375;;;0;file_eleitos
ROSALBACIARLINI;4543;RN;2006;ROSALBA CIARLINI;PFL;MASCULINO;;;0;0;0,1841655111216;0;;;0;file_eleitos
MARCONIPERILLO;4535;GO;2006;MARCONI PERILLO;PSDB;MASCULINO;;;0;0;0,30028506638075;0;;;0;file_eleitos
GIMARGELLO2011;;DF;;GIM ARGELLO;PTB;;;2011;0;0;0;0,8015873015873;;;0;file_eleitos
CICERONOGUEIRA2012;;PI;;CICERO NOGUEIRA;PP;;;2012;0;0;0;0,75396825396825;;;0;file_eleitos
GIMARGELLO2013;;DF;;GIM ARGELLO;PTB;;;2013;0;0;0;0,92436974789916;;;0;file_eleitos
MAZARILDOCAVALCANTI2012;;RR;;MAZARILDO CAVALCANTI;PTB;;;2012;0;0;0;0,68333333333333;;;0;file_eleitos
ADERBARBALHO2016;;PA;;ADER BARBALHO;PMDB;;;2016;0;0;0;0,31868131868132;;;0;file_eleitos
WALTERPINHEIRO2017;;BA;;WALTER PINHEIRO;S/Partido;;;2017;0;0;0;1;;;0;file_eleitos
ALOYSIONUNES2017;;SP;;ALOYSIO NUNES;PSDB;;;2017;0;0;0;1;;;0;file_eleitos
;;;;;;;;;0;0;0;0;;;0;file_eleitos
RAIMUNDOCOLOMBO;1206;SC;2006;RAIMUNDO COLOMBO;PFL;MASCULINO;;;0;0;0,24778661710536;0;;;0;file_eleitos
JOAQUIMRORIZ;4533;DF;2006;JOAQUIM RORIZ;PMDB;MASCULINO;;;0;0;0,21622934984162;0;;;0;file_eleitos
RENATOCASAGRANDE;3868;ES;2006;RENATO CASAGRANDE;PSB;MASCULINO;;;0;0;0,25682160645122;0;;;0;file_eleitos
TIAOVIANA;982;AC;2006;TIAO VIANA;PT;MASCULINO;;;0;0;0,225791598312;0;;;0;file_eleitos
GLADSONCAMELLI2015;;AC;;GLADSON CAMELLI;PP;;;2015;0;0;0;0,71653543307087;;;0;file_eleitos
SERGIOSOUZA2014;;PMDB;;SERGIO SOUZA;PR;;;2014;0;0;0;0,89814814814815;;;0;file_eleitos
GARIBALDIALVES2015;;RN;;GARIBALDI ALVES;PMDB;;;2015;0;0;0;0,78740157480315;;;0;file_eleitos
REGINADESOUSA2015;;PI;;REGINA DE SOUSA;PT;;;2015;0;0;0;0,96850393700787;;;0;file_eleitos
GIMARGELLO2014;;PTB;;GIM ARGELLO;DF;;;2014;0;0;0;0,89516129032258;;;0;file_eleitos
EDUARDOAMORIN2015;;SE;;EDUARDO AMORIN;PSC;;;2015;0;0;0;0,92125984251969;;;0;file_eleitos
2013;;;;;;;;2013;0;0;0;0,84033613445378;;;0;file_eleitos
ELISEURESENDE;394;MG;2006;ELISEU RESENDE;PFL;MASCULINO;;;0;0;0,23937509801352;0;;;0;file_eleitos
;;;;;;;;;0;0;0;0;;;0;file_eleitos
EDUARDOSUPLICY2011;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172011;2011;0,27443609022556;0,29577464788732;0,19928661058667;0,88095238095238;172011;77;82675;file_eleitos
EDUARDOSUPLICY2014;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172014;2014;0,39222614840989;0,23188405797101;0,19928661058667;0,91869918699187;172014;77;193615,45;file_eleitos
EDUARDOSUPLICY2013;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172013;2013;0,53125;0,35042735042735;0,19928661058667;0,92436974789916;172013;77;188533,3;file_eleitos
EDUARDOSUPLICY2012;17;SP;2006;EDUARDO SUPLICY;PT;MASCULINO;172012;2012;0,42965779467681;0,16778523489933;0,19928661058667;0,94444444444444;172012;77;176254,13;file_eleitos
