"codigo";"nome";"codigo_materia";"ano_materia";"tipo_materia";"partido"
"4981";"Acir Gurgacz";"133980";"2018";"RQN";"PDT"
"4981";"Acir Gurgacz";"134126";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"134062";"2018";"RQS";"PDT"
"4981";"Acir Gurgacz";"133945";"2018";"RQS";"PDT"
"4981";"Acir Gurgacz";"133933";"2018";"PEC";"PDT"
"4981";"Acir Gurgacz";"133882";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"133881";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"133880";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"133710";"2018";"RQJ";"PDT"
"4981";"Acir Gurgacz";"133707";"2018";"RQJ";"PDT"
"4981";"Acir Gurgacz";"133644";"2018";"PRS";"PDT"
"4981";"Acir Gurgacz";"133598";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"133596";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"133557";"2018";"PEC";"PDT"
"4981";"Acir Gurgacz";"133391";"2018";"PEC";"PDT"
"4981";"Acir Gurgacz";"133305";"2018";"RQS";"PDT"
"4981";"Acir Gurgacz";"133304";"2018";"PEC";"PDT"
"4981";"Acir Gurgacz";"133303";"2018";"PEC";"PDT"
"4981";"Acir Gurgacz";"133268";"2018";"PDS";"PDT"
"4981";"Acir Gurgacz";"133243";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"132865";"2018";"PLS";"PDT"
"4981";"Acir Gurgacz";"132640";"2018";"PDS";"PDT"
"4981";"Acir Gurgacz";"132583";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"132503";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"132337";"2018";"RQS";"PDT"
"4981";"Acir Gurgacz";"132244";"2018";"RQI";"PDT"
"4981";"Acir Gurgacz";"132119";"2018";"RQS";"PDT"
"4981";"Acir Gurgacz";"132049";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"131958";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"131919";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"131763";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"131679";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"131638";"2017";"RQE";"PDT"
"4981";"Acir Gurgacz";"131635";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"131631";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"131536";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"131340";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"131332";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"131325";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"131324";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"131293";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"131263";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"131262";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"131237";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"131236";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"131098";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"131097";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"131089";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"130995";"2017";"PDS";"PDT"
"4981";"Acir Gurgacz";"130952";"2017";"PLS";"PDT"
"4981";"Acir Gurgacz";"130924";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"130923";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"130919";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"130877";"2017";"RDR";"PDT"
"4981";"Acir Gurgacz";"130695";"2017";"PDS";"PDT"
"4981";"Acir Gurgacz";"130672";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"130413";"2017";"OFS";"PDT"
"4981";"Acir Gurgacz";"130373";"2017";"RRA";"PDT"
"4981";"Acir Gurgacz";"130364";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"130315";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"130219";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"130036";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"130019";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129913";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129887";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"129786";"2017";"RTG";"PDT"
"4981";"Acir Gurgacz";"129778";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"129772";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129744";"2017";"RRE";"PDT"
"4981";"Acir Gurgacz";"129623";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"129576";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129566";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"129388";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"129370";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"129309";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129308";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129219";"2017";"PEC";"PDT"
"4981";"Acir Gurgacz";"129186";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"129063";"2017";"RQS";"PDT"
"4981";"Acir Gurgacz";"128921";"2017";"RQI";"PDT"
"4981";"Acir Gurgacz";"128806";"2017";"RQI";"PDT"
