CODIGO;ANO;SENADOR;QTDE_TIPO_DESPESA;QTDE_FORNECEDOR;UF;PARTIDO;DATA_NASC;IDADE;SEXO;VALOR_REEMBOLSADO;QTDE_MATERIAS_PUB;QTDE_TIPO_MATERIA
4981;2017;ACIR GURGACZ;6;26;RO;PDT;25/02/1962;57;M;400382,5;71;12
4981;2012;ACIR GURGACZ;6;38;RO;PDT;25/02/1962;57;M;280383,11;65;6
4981;2014;ACIR GURGACZ;5;20;RO;PDT;25/02/1962;57;M;382905,25;48;6
4981;2013;ACIR GURGACZ;6;50;RO;PDT;25/02/1962;57;M;409890,04;85;10
4981;2011;ACIR GURGACZ;5;74;RO;PDT;25/02/1962;57;M;315733,66;110;8
4981;2015;ACIR GURGACZ;5;22;RO;PDT;25/02/1962;57;M;412941,5;135;7
4981;2016;ACIR GURGACZ;6;19;RO;PDT;25/02/1962;57;M;301970,88;32;8
3622;2011;ADELMIR SANTANA;1;1;DF;DEM;19/04/1945;73;;15000;;
391;2017;AÉCIO NEVES;7;39;MG;PSDB;10/03/1960;59;M;213285,69;12;5
391;2012;AÉCIO NEVES;4;38;MG;PSDB;10/03/1960;59;M;252715,42;58;5
391;2014;AÉCIO NEVES;4;22;MG;PSDB;10/03/1960;59;M;214075,14;21;4
391;2013;AÉCIO NEVES;4;70;MG;PSDB;10/03/1960;59;M;285341,44;101;5
391;2011;AÉCIO NEVES;4;22;MG;PSDB;10/03/1960;59;M;180990,41;46;5
391;2015;AÉCIO NEVES;5;34;MG;PSDB;10/03/1960;59;M;268011,78;98;5
391;2016;AÉCIO NEVES;6;38;MG;PSDB;10/03/1960;59;M;295335,85;48;5
3651;2011;ALFREDO COTAIT;2;31;SP;PSD;10/01/1947;72;M;15000;;
4527;2012;ALFREDO NASCIMENTO;5;11;AM;PR;05/05/1952;66;M;193696,51;24;4
4527;2014;ALFREDO NASCIMENTO;3;9;AM;PR;05/05/1952;66;M;229497,37;37;4
4527;2013;ALFREDO NASCIMENTO;4;11;AM;PR;05/05/1952;66;M;327838,22;57;5
4527;2011;ALFREDO NASCIMENTO;2;6;AM;PR;05/05/1952;66;M;66410,39;5;1
4527;2015;ALFREDO NASCIMENTO;2;4;AM;PR;05/05/1952;66;M;20083,63;;
3433;2011;ALMEIDA LIMA;2;9;SE;PMDB;28/09/1953;65;M;15000;;
846;2017;ALOYSIO NUNES FERREIRA;6;39;SP;PSDB;05/04/1945;74;M;51729,82;8;3
846;2012;ALOYSIO NUNES FERREIRA;6;98;SP;PSDB;05/04/1945;74;M;267217,86;109;12
846;2014;ALOYSIO NUNES FERREIRA;6;64;SP;PSDB;05/04/1945;74;M;223489,82;149;12
846;2013;ALOYSIO NUNES FERREIRA;6;105;SP;PSDB;05/04/1945;74;M;251763,49;180;12
846;2011;ALOYSIO NUNES FERREIRA;6;75;SP;PSDB;05/04/1945;74;M;186688,84;80;10
846;2015;ALOYSIO NUNES FERREIRA;6;69;SP;PSDB;05/04/1945;74;M;275529,79;195;11
846;2016;ALOYSIO NUNES FERREIRA;6;72;SP;PSDB;05/04/1945;74;M;284998,67;74;9
945;2017;ALVARO DIAS;2;2;PR;PSDB;07/12/1944;74;M;118725,64;76;5
945;2012;ALVARO DIAS;1;8;PR;PSDB;07/12/1944;74;M;99250,69;133;10
945;2014;ALVARO DIAS;1;4;PR;PSDB;07/12/1944;74;M;75377,23;67;12
945;2013;ALVARO DIAS;1;4;PR;PSDB;07/12/1944;74;M;109892,18;110;12
945;2011;ALVARO DIAS;2;7;PR;PSDB;07/12/1944;74;M;52466,46;161;12
945;2015;ALVARO DIAS;2;10;PR;PSDB;07/12/1944;74;M;102747,38;176;7
945;2016;ALVARO DIAS;2;12;PR;PSDB;07/12/1944;74;M;132970,95;78;6
4988;2017;ANA AMÉLIA;5;123;RS;PP;23/03/1945;74;F;134989,96;86;9
4988;2012;ANA AMÉLIA;6;156;RS;PP;23/03/1945;74;F;124669,28;192;10
4988;2014;ANA AMÉLIA;5;101;RS;PP;23/03/1945;74;F;114444,32;162;11
4988;2013;ANA AMÉLIA;6;117;RS;PP;23/03/1945;74;F;121660,01;202;13
4988;2011;ANA AMÉLIA;6;172;RS;PP;23/03/1945;74;F;108602,86;226;11
4988;2015;ANA AMÉLIA;5;139;RS;PP;23/03/1945;74;F;144937,71;263;11
4988;2016;ANA AMÉLIA;5;139;RS;PP;23/03/1945;74;F;167090,43;139;11
4869;2012;ANA RITA;7;54;ES;PT;26/07/1958;60;F;299559,01;65;6
4869;2014;ANA RITA;6;57;ES;PT;26/07/1958;60;F;294237,27;95;10
