CD_SENADOR;NM_UF;NM_SENADOR;AN_ELEICAO;SG_PARTIDO;QT_VOTACAO_NOMINAL;QT_POPULACAO_UF;CS_SEXO;AN_REFERENCIA;QT_TIPO_DESPESA;QT_FORNECEDOR;DT_NASC;QT_ANOS_IDADE;VL_REEMBOLSADO;QT_MATERIAS_PUBL;QT_RELATORIA;QT_COMISSOES;QT_MEDIA_DIAS_COMISSAO
17;SP;EDUARDO SUPLICY;2006;PT;8986803;45094866;MASCULINO;2013;6;86;21/06/1941;77;188533,3;153;41;14;379,28571
17;SP;EDUARDO SUPLICY;2006;PT;8986803;45094866;MASCULINO;2012;6;88;21/06/1941;77;176254,13;113;25;2;625
17;SP;EDUARDO SUPLICY;2006;PT;8986803;45094866;MASCULINO;2011;5;53;21/06/1941;77;82675;73;42;9;829,6
17;SP;EDUARDO SUPLICY;2006;PT;8986803;45094866;MASCULINO;2015;2;2;21/06/1941;77;20304,23;;;;
17;SP;EDUARDO SUPLICY;2006;PT;8986803;45094866;MASCULINO;2014;4;47;21/06/1941;77;193615,45;111;16;4;129,5
20;MA;EPITÁCIO CAFETEIRA;2006;PTB;1016240;7000229;MASCULINO;2015;1;4;27/06/1924;94;1865,95;;;;
20;MA;EPITÁCIO CAFETEIRA;2006;PTB;1016240;7000229;MASCULINO;2012;4;13;27/06/1924;94;245891,95;5;;1;45
20;MA;EPITÁCIO CAFETEIRA;2006;PTB;1016240;7000229;MASCULINO;2011;3;11;27/06/1924;94;209501,16;5;;;
20;MA;EPITÁCIO CAFETEIRA;2006;PTB;1016240;7000229;MASCULINO;2014;2;5;27/06/1924;94;24432,01;5;;;
20;MA;EPITÁCIO CAFETEIRA;2006;PTB;1016240;7000229;MASCULINO;2013;3;8;27/06/1924;94;138901,59;10;;1;20
47;AP;JOSÉ SARNEY;2006;PMDB;152486;797722;MASCULINO;2012;1;1;24/04/1930;88;51102;15;1;1;45
47;AP;JOSÉ SARNEY;2006;PMDB;152486;797722;MASCULINO;2011;2;2;24/04/1930;88;42000;44;1;1;730
47;AP;JOSÉ SARNEY;2006;PMDB;152486;797722;MASCULINO;2013;1;2;24/04/1930;88;3759,93;23;1;1;53
68;RS;PEDRO SIMON;2006;PMDB;1862560;11322895;MASCULINO;2014;2;4;31/01/1930;89;124283,67;51;6;;
68;RS;PEDRO SIMON;2006;PMDB;1862560;11322895;MASCULINO;2012;1;3;31/01/1930;89;44374,35;53;15;3;454,33333
68;RS;PEDRO SIMON;2006;PMDB;1862560;11322895;MASCULINO;2011;1;5;31/01/1930;89;27569,46;36;23;8;524,125
68;RS;PEDRO SIMON;2006;PMDB;1862560;11322895;MASCULINO;2013;2;5;31/01/1930;89;81312,76;81;12;7;375,5
68;RS;PEDRO SIMON;2006;PMDB;1862560;11322895;MASCULINO;2015;1;2;31/01/1930;89;8767;;;;
394;MG;ELISEU RESENDE;2006;PFL;5055491;21119536;MASCULINO;;;;;;;;;;
527;MS;MARISA SERRANO;2006;PSDB;607584;2713147;FEMININO;2011;5;80;21/06/1947;71;92964,02;19;1;11;55,555556
613;CE;INÁCIO ARRUDA;2006;PC DO B;1912663;9020460;MASCULINO;2015;5;24;05/05/1957;61;32604,19;;;;
613;CE;INÁCIO ARRUDA;2006;PC DO B;1912663;9020460;MASCULINO;2014;6;69;05/05/1957;61;348355,43;82;7;11;135,36364
613;CE;INÁCIO ARRUDA;2006;PC DO B;1912663;9020460;MASCULINO;2011;6;64;05/05/1957;61;294303,59;82;31;12;588,8125
613;CE;INÁCIO ARRUDA;2006;PC DO B;1912663;9020460;MASCULINO;2013;6;81;05/05/1957;61;409769,3;113;16;18;358,61111
613;CE;INÁCIO ARRUDA;2006;PC DO B;1912663;9020460;MASCULINO;2012;6;70;05/05/1957;61;351549,52;65;24;4;481,75
765;RJ;FRANCISCO DORNELLES;2006;PP;3373731;16718956;FEMININO;2014;4;11;07/01/1935;84;364418,53;14;10;6;103,83333
765;RJ;FRANCISCO DORNELLES;2006;PP;3373731;16718956;FEMININO;2012;5;65;07/01/1935;84;373371,23;49;28;3;468,33333
765;RJ;FRANCISCO DORNELLES;2006;PP;3373731;16718956;FEMININO;2011;5;79;07/01/1935;84;291635,44;46;37;9;846,88889
765;RJ;FRANCISCO DORNELLES;2006;PP;3373731;16718956;FEMININO;2013;4;42;07/01/1935;84;373481,24;62;42;9;238,4
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2015;2;10;07/12/1944;74;102747,38;176;19;9;306,75
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2016;2;12;07/12/1944;74;132970,95;78;4;;
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2011;2;7;07/12/1944;74;52466,46;161;26;7;422,8
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2017;2;2;07/12/1944;74;118725,64;76;;1;14
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2012;1;8;07/12/1944;74;99250,69;133;32;4;323
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2013;1;4;07/12/1944;74;109892,18;110;26;13;281,85714
945;PR;ALVARO DIAS;2014;PSDB;4101848;11320892;MASCULINO;2014;1;4;07/12/1944;74;75377,23;67;9;6;111
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2015;2;10;07/12/1944;74;102747,38;176;19;9;306,75
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2016;2;12;07/12/1944;74;132970,95;78;4;;
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2011;2;7;07/12/1944;74;52466,46;161;26;7;422,8
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2017;2;2;07/12/1944;74;118725,64;76;;1;14
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2012;1;8;07/12/1944;74;99250,69;133;32;4;323
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2013;1;4;07/12/1944;74;109892,18;110;26;13;281,85714
945;PR;ÁLVARO DIAS;2006;PSDB;2572481;11320892;MASCULINO;2014;1;4;07/12/1944;74;75377,23;67;9;6;111
952;RR;MOZARILDO CAVALCANTI;2006;PTB;98860;522636;MASCULINO;2011;7;197;11/06/1944;74;448390,48;55;50;14;540,42857
952;RR;MOZARILDO CAVALCANTI;2006;PTB;98860;522636;MASCULINO;2012;7;169;11/06/1944;74;464182,08;57;25;11;376,92308
952;RR;MOZARILDO CAVALCANTI;2006;PTB;98860;522636;MASCULINO;2013;7;91;11/06/1944;74;345285,21;55;27;8;316,6
952;RR;MOZARILDO CAVALCANTI;2006;PTB;98860;522636;MASCULINO;2014;6;55;11/06/1944;74;488693,4;67;9;12;157,61538
982;AC;TIÃO VIANA;2006;PT;187321;829.619;MASCULINO;;;;;;;;;;
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2013;3;12;23/08/1941;77;159340,95;39;16;4;618,75
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2016;2;2;23/08/1941;77;2252,4;3;2;;
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2017;3;22;23/08/1941;77;188979,01;30;7;3;22,333333
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2015;3;9;23/08/1941;77;110360,08;116;13;12;294,69231
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2011;3;11;23/08/1941;77;104929,56;17;15;13;677,17647
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2014;3;12;23/08/1941;77;102850,17;44;9;3;266,66667
1023;SE;MARIA DO CARMO;2014;DEM;448102;2288116;FEMININO;2012;3;15;23/08/1941;77;99695,71;24;31;;
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2013;3;12;23/08/1941;77;159340,95;39;16;4;618,75
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2016;2;2;23/08/1941;77;2252,4;3;2;;
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2017;3;22;23/08/1941;77;188979,01;30;7;3;22,333333
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2015;3;9;23/08/1941;77;110360,08;116;13;12;294,69231
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2011;3;11;23/08/1941;77;104929,56;17;15;13;677,17647
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2014;3;12;23/08/1941;77;102850,17;44;9;3;266,66667
1023;SE;MARIA DO CARMO ALVES;2006;PFL;468546;2288116;FEMININO;2012;3;15;23/08/1941;77;99695,71;24;31;;
1189;RO;EXPEDITO JÚNIOR;2006;PPS;267728;1805788;MASCULINO;;;;;;;;;;
1206;SC;RAIMUNDO COLOMBO;2006;PFL;1734794;7001161;MASCULINO;;;;;;;;;;
1249;TO;KATIA ABREU;2014;PMDB;282052;1550194;FEMININO;2017;6;31;02/02/1962;57;265779,61;36;12;4;125,75
1249;TO;KATIA ABREU;2014;PMDB;282052;1550194;FEMININO;2012;6;55;02/02/1962;57;179270,02;16;10;12;199,33333
1249;TO;KATIA ABREU;2014;PMDB;282052;1550194;FEMININO;2014;7;44;02/02/1962;57;302582,4;20;11;1;325
1249;TO;KATIA ABREU;2014;PMDB;282052;1550194;FEMININO;2016;5;42;02/02/1962;57;111441,26;14;13;7;189
1249;TO;KATIA ABREU;2014;PMDB;282052;1550194;FEMININO;2011;7;77;02/02/1962;57;247709,68;19;16;7;78,769231
1249;TO;KATIA ABREU;2014;PMDB;282052;1550194;FEMININO;2013;7;43;02/02/1962;57;255183,61;27;16;17;333,07143
1249;TO;KÁTIA ABREU;2006;PFL;325051;1550194;FEMININO;2017;6;31;02/02/1962;57;265779,61;36;12;4;125,75
1249;TO;KÁTIA ABREU;2006;PFL;325051;1550194;FEMININO;2012;6;55;02/02/1962;57;179270,02;16;10;12;199,33333
1249;TO;KÁTIA ABREU;2006;PFL;325051;1550194;FEMININO;2014;7;44;02/02/1962;57;302582,4;20;11;1;325
1249;TO;KÁTIA ABREU;2006;PFL;325051;1550194;FEMININO;2016;5;42;02/02/1962;57;111441,26;14;13;7;189
1249;TO;KÁTIA ABREU;2006;PFL;325051;1550194;FEMININO;2011;7;77;02/02/1962;57;247709,68;19;16;7;78,769231
1249;TO;KÁTIA ABREU;2006;PFL;325051;1550194;FEMININO;2013;7;43;02/02/1962;57;255183,61;27;16;17;333,07143
3868;ES;RENATO CASAGRANDE;2006;PSB;1031487;4016356;MASCULINO;;;;;;;;;;
4525;AL;FERNANDO COLLOR DE MELLO;2014;PTB;689266;3375823;MASCULINO;2011;4;28;12/08/1949;69;398082,24;29;1;9;480,77778
4525;AL;FERNANDO COLLOR DE MELLO;2014;PTB;689266;3375823;MASCULINO;2015;2;2;12/08/1949;69;420674,4;45;;13;235,625
4525;AL;FERNANDO COLLOR DE MELLO;2014;PTB;689266;3375823;MASCULINO;2014;3;3;12/08/1949;69;420674,39;19;1;;
4525;AL;FERNANDO COLLOR DE MELLO;2014;PTB;689266;3375823;MASCULINO;2017;3;4;12/08/1949;69;344574,25;27;1;5;13,666667
