Cd_senador;UF;Ano;Cargo;Candidato;Partido;VotaçãoNominal;Situação;Sexo
3;SE;2010;SENADOR;ANTONIO CARLOS VALADARES;PSB;476.549;ELEITO;MASCULINO
16;MA;2010;SENADOR;EDISON LOBÃO;PMDB;1.702.085;ELEITO;MASCULINO
17;SP;2006;SENADOR;Eduardo Suplicy;PT;8.986.803;ELEITO;MASCULINO
20;MA;2006;SENADOR;Epitácio Cafeteira;PTB;1.016.240;ELEITO;MASCULINO
35;PA;2010;SENADOR;JADER FONTENELLE BARBALHO;PMDB;1.799.762;ELEITO;MASCULINO
40;RN;2010;SENADOR;JOSÉ AGRIPINO MAIA;DEM;958.891;ELEITO;MASCULINO
47;AP;2006;SENADOR;José Sarney;PMDB;152.486;ELEITO;MASCULINO
68;RS;2006;SENADOR;Pedro Simon;PMDB;1.862.560;ELEITO;MASCULINO
70;AL;2010;SENADOR;JOSÉ RENAN VASCONCELOS CALHEIROS;PMDB;840.809;ELEITO;MASCULINO
72;PR;2010;SENADOR;ROBERTO REQUIÃO DE MELLO E SILVA;PMDB;2.691.557;ELEITO;MASCULINO
73;RR;2010;SENADOR;ROMERO JUCA FILHO;PMDB;118.481;ELEITO;MASCULINO
90;SP;2014;SENADOR;Jose Serra;PSDB;11.105.874;ELEITO;MASCULINO
111;MT;2010;SENADOR;BLAIRO BORGES MAGGI;PR;1.073.039;ELEITO;MASCULINO
374;PA;2014;SENADOR;Paulo Rocha;PT;1.566.350;ELEITO;MASCULINO
391;MG;2010;SENADOR;AÉCIO NEVES DA CUNHA;PSDB;7.565.377;ELEITO;MASCULINO
394;MG;2006;SENADOR;Eliseu Resende;PFL;5.055.491;ELEITO;MASCULINO
456;GO;2014;SENADOR;Ronaldo Caiado;DEM;1.283.665;ELEITO;MASCULINO
527;MS;2006;SENADOR;Marisa Serrano;PSDB;607.584;ELEITO;FEMININO
558;AM;2010;SENADOR;VANESSA GRAZZIOTIN;PC DO B;672.920;ELEITO;FEMININO
604;BA;2010;SENADOR;WALTER DE FREITAS PINHEIRO;PT;3.630.944;ELEITO;MASCULINO
612;CE;2010;SENADOR;EUNICIO LOPES DE OLIVEIRA;PMDB;2.688.833;ELEITO;MASCULINO
613;CE;2006;SENADOR;Inácio Arruda;PC DO B; 1.912.663  ;ELEITO;MASCULINO
615;CE;2010;SENADOR;JOSE BARROSO PIMENTEL;PT;2.397.851;ELEITO;MASCULINO
631;ES;2010;SENADOR;MAGNO PEREIRA MALTA;PR;1.285.177;ELEITO;MASCULINO
635;ES;2010;SENADOR;RICARDO DE REZENDE FERRACO;PMDB;1.557.409;ELEITO;MASCULINO
643;GO;2010;SENADOR;LÚCIA VÂNIA ABRÃO COSTA;PSDB;1.496.559;ELEITO;FEMININO
677;MA;2014;SENADOR;Roberto Rocha;PSB;1.476.840;ELEITO;MASCULINO
715;PE;2010;SENADOR;ARMANDO DE QUEIROZ MONTEIRO NETO;PTB;3.142.930;ELEITO;MASCULINO
739;PI;2010;SENADOR;CIRO NOGUEIRA LIMA FILHO;PP;695.875;ELEITO;MASCULINO
765;RJ;2006;SENADOR;Francisco Dornelles;PP;3.373.731;ELEITO;FEMININO
825;RS;2010;SENADOR;PAULO RENATO PAIM;PT;3.895.822;ELEITO;MASCULINO
846;SP;2010;SENADOR;ALOYSIO NUNES FERREIRA FILHO;PSDB;11.189.168;ELEITO;MASCULINO
916;TO;2010;SENADOR;JOÃO BATISTA DE JESUS RIBEIRO;PR;375.090;ELEITO;MASCULINO
945;PR;2014;SENADOR;Alvaro Dias;PSDB;4.101.848;ELEITO;MASCULINO
945;PR;2006;SENADOR;Álvaro Dias;PSDB;2.572.481;ELEITO;MASCULINO
950;MA;2010;SENADOR;JOÃO ALBERTO DE SOUZA;PMDB;1.546.298;ELEITO;MASCULINO
952;RR;2006;SENADOR;Mozarildo Cavalcanti;PTB;98.860;ELEITO;MASCULINO
982;AC;2006;SENADOR;Tião Viana;PT;187.321;ELEITO;MASCULINO
1023;SE;2014;SENADOR;Maria do Carmo;DEM;448.102;ELEITO;FEMININO
1023;SE;2006;SENADOR;Maria do Carmo Alves;PFL;468.546;ELEITO;FEMININO
1173;MT;2014;SENADOR;WELLINGTON FAGUNDES;PR;646.344;ELEITO;MASCULINO
1176;MS;2010;SENADOR;WALDEMIR MOKA MIRANDA DE BRITO;PMDB;544.933;ELEITO;MASCULINO
1189;RO;2006;SENADOR;Expedito Júnior;PPS;267.728;ELEITO;MASCULINO
1206;SC;2006;SENADOR;Raimundo Colombo;PFL;1.734.794;ELEITO;MASCULINO
1249;TO;2014;SENADOR;Katia Abreu;PMDB;282.052;ELEITO;FEMININO
1249;TO;2006;SENADOR;Kátia Abreu;PFL;325.051;ELEITO;FEMININO
1754;MG;2010;SENADOR;ITAMAR AUGUSTO CAUTIERO FRANCO;PPS;5.125.455;ELEITO;MASCULINO
2331;ES;2014;SENADOR;ROSE DE FREITAS;PMDB;776.978;ELEITO;FEMININO
2632;PA;2010;SENADOR;FERNANDO DE SOUZA FLEXA RIBEIRO;PSDB;1.817.644;ELEITO;MASCULINO
